Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con ciberseguridad,Porcentaje de las empresas con ciberseguridad en plan de implementación,Porcentaje de las empresas con computación en la nube ,Porcentaje de las empresas con computación en la nube en plan de implementación,INFRAESTRUCTURA,Porcentaje de las empresas con sensores/M2M/IOT,Porcentaje de las empresas con sensores/M2M/IOT en plan de implementación,Porcentaje de las empresas con robótica,Porcentaje de las empresas con robótica en plan de implementacion,Porcentaje de las empresas con impresoras 3D,Porcentaje de las empresas con impresoras 3D en plan de implementación,Porcentaje de las empresas con realidad virtual,Porcentaje de las empresas con realidad virtual en plan de implementación,PROCESAMIENTO,Porcentaje de las empresas con Big Data,Porcentaje de las empresas con Big Data en plan de implementación,Porcentaje de las empresas con inteligencia artificial,Porcentaje de las empresas con inteligencia artificial en plan de implementación,Porcentaje de las empresas con block chain,Porcentaje de las empresas con block chain en plan de implementación, DISTRIBUCION , Calculo del Indice 
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,30.0%,10.0%,20.0%,20.0%,21,30.0%,10.0%,0.0%,0.0%,0.0%,5.0%,0.0%,0.0%,7,5.0%,15.0%,0.0%,0.0%,0.0%,0.0%,  3 ,  10 
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,45.5%,9.1%,18.2%,36.4%,28,45.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,9,9.1%,27.3%,0.0%,0.0%,0.0%,0.0%,  5 ,  14 
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,17.6%,14.7%,8.8%,0.0%,11,11.8%,11.8%,0.0%,2.9%,0.0%,5.9%,2.9%,2.9%,4,2.9%,0.0%,2.9%,0.0%,2.9%,0.0%,  2 ,  6 
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,26.7%,26.7%,13.3%,0.0%,17,20.0%,20.0%,0.0%,6.7%,0.0%,6.7%,6.7%,6.7%,7,6.7%,0.0%,6.7%,0.0%,6.7%,0.0%,  5 ,  10 
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,10.5%,5.3%,5.3%,0.0%,6,5.3%,5.3%,0.0%,0.0%,0.0%,5.3%,0.0%,0.0%,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  2 
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Construccion,Total,Total,46.4%,14.3%,21.4%,17.9%,27,17.9%,10.7%,0.0%,3.6%,3.6%,10.7%,0.0%,10.7%,6,3.6%,7.1%,0.0%,0.0%,3.6%,0.0%,  2 ,  12 
2017,Region Central,Sector Secundario,Construccion,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Construccion,Total,Pymes,40.0%,15.0%,20.0%,25.0%,26,20.0%,10.0%,0.0%,5.0%,5.0%,15.0%,0.0%,15.0%,7,0.0%,10.0%,0.0%,0.0%,5.0%,0.0%,  2 ,  12 
2017,Region Central,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Total,Total,Total,36.4%,15.4%,23.0%,11.7%,23,10.5%,9.7%,2.2%,4.0%,2.3%,3.9%,2.0%,5.7%,5,5.1%,7.7%,3.3%,3.9%,3.0%,4.3%,  4 ,  11 
2017,Region Central,Sector Terciario,Total,Total,Micros,26.0%,18.1%,13.2%,9.9%,17,10.6%,8.7%,1.2%,2.7%,1.1%,3.6%,1.3%,5.0%,4,0.8%,5.4%,0.5%,3.9%,1.7%,4.0%,  2 ,  8 
2017,Region Central,Sector Terciario,Total,Total,Pymes,51.1%,11.2%,38.0%,13.7%,32,9.2%,7.1%,1.0%,5.6%,3.8%,2.7%,4.0%,7.3%,5,10.6%,10.6%,8.1%,3.3%,4.1%,5.1%,  7 ,  15 
2017,Region Central,Sector Terciario,Total,Total,Grandes,90.4%,2.8%,69.5%,22.2%,53,13.5%,27.8%,16.3%,12.2%,8.8%,10.2%,3.2%,7.0%,11,28.3%,21.0%,14.9%,6.1%,11.3%,5.2%,  16 ,  27 
2017,Region Central,Sector Terciario,Comercio,Total,Total,32.3%,16.9%,15.4%,15.4%,21,6.2%,12.3%,3.1%,6.2%,0.0%,4.6%,0.0%,6.2%,3,1.5%,6.2%,0.0%,3.1%,3.1%,1.5%,  2 ,  9 
2017,Region Central,Sector Terciario,Comercio,Total,Micros,28.8%,17.3%,9.6%,13.5%,18,7.7%,9.6%,1.9%,3.8%,0.0%,3.8%,0.0%,5.8%,3,0.0%,3.8%,0.0%,3.8%,1.9%,1.9%,  1 ,  7 
2017,Region Central,Sector Terciario,Comercio,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Comercio,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Total,Total,39.9%,14.1%,29.4%,8.6%,25,14.2%,7.5%,1.5%,2.2%,4.2%,3.3%,3.7%,5.2%,6,8.1%,9.0%,6.1%,4.7%,2.9%,6.7%,  6 ,  12 
2017,Region Central,Sector Terciario,Servicios,Total,Micros,22.8%,18.9%,17.1%,6.0%,17,13.9%,7.7%,0.3%,1.3%,2.4%,3.4%,2.6%,4.1%,5,1.8%,7.1%,1.1%,4.1%,1.5%,6.2%,  3 ,  8 
2017,Region Central,Sector Terciario,Servicios,Total,Pymes,62.1%,7.0%,44.0%,10.5%,35,12.6%,5.6%,1.4%,3.5%,5.2%,3.7%,5.5%,5.8%,6,14.7%,10.4%,11.2%,4.5%,1.4%,7.1%,  9 ,  17 
2017,Region Central,Sector Terciario,Servicios,Total,Grandes,84.2%,4.6%,66.0%,20.3%,50,22.2%,13.6%,10.7%,4.1%,14.4%,0.7%,5.3%,11.5%,12,30.4%,18.4%,24.5%,10.0%,18.6%,8.6%,  21 ,  28 
2017,Region Central,Sector Terciario,Servicios,Transporte y almacenamiento,Total,35.0%,20.0%,20.0%,5.0%,22,10.0%,10.0%,0.0%,0.0%,15.0%,5.0%,0.0%,0.0%,6,10.0%,5.0%,0.0%,0.0%,5.0%,5.0%,  5 ,  11 
2017,Region Central,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,16.7%,8.3%,0.0%,0.0%,7,0.0%,8.3%,0.0%,0.0%,8.3%,0.0%,0.0%,0.0%,2,0.0%,0.0%,0.0%,0.0%,8.3%,0.0%,  2 ,  4 
2017,Region Central,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,35.3%,29.4%,17.6%,11.8%,24,23.5%,17.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6,5.9%,5.9%,11.8%,0.0%,5.9%,5.9%,  7 ,  12 
2017,Region Central,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,10.0%,50.0%,10.0%,10.0%,18,30.0%,30.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8,0.0%,10.0%,0.0%,0.0%,0.0%,10.0%,  2 ,  9 
2017,Region Central,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Información y comunicaciones,Total,61.4%,15.9%,77.3%,6.8%,46,18.2%,11.4%,6.8%,4.5%,4.5%,4.5%,29.5%,6.8%,13,34.1%,34.1%,25.0%,22.7%,4.5%,36.4%,  24 ,  28 
2017,Region Central,Sector Terciario,Servicios,Información y comunicaciones,Micros,25.0%,43.8%,62.5%,0.0%,35,12.5%,0.0%,6.3%,0.0%,0.0%,6.3%,31.3%,6.3%,11,12.5%,25.0%,12.5%,25.0%,0.0%,43.8%,  14 ,  20 
2017,Region Central,Sector Terciario,Servicios,Información y comunicaciones,Pymes,80.8%,0.0%,88.5%,7.7%,52,23.1%,19.2%,7.7%,7.7%,7.7%,3.8%,30.8%,7.7%,16,42.3%,42.3%,30.8%,19.2%,7.7%,30.8%,  28 ,  32 
2017,Region Central,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,22.7%,9.1%,30.7%,8.0%,19,4.5%,0.0%,4.5%,1.1%,1.1%,2.3%,1.1%,5.7%,3,8.0%,8.0%,2.3%,2.3%,2.3%,2.3%,  4 ,  9 
2017,Region Central,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,9.5%,9.5%,28.6%,7.9%,15,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%,0.0%,4.8%,0,3.2%,4.8%,0.0%,0.0%,0.0%,0.0%,  1 ,  5 
2017,Region Central,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,38.5%,15.4%,23.1%,7.7%,23,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2,7.7%,15.4%,0.0%,7.7%,0.0%,0.0%,  4 ,  9 
2017,Region Central,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,75.0%,0.0%,50.0%,8.3%,39,25.0%,0.0%,33.3%,8.3%,8.3%,8.3%,8.3%,16.7%,17,33.3%,16.7%,16.7%,8.3%,16.7%,16.7%,  20 ,  25 
2017,Region Central,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,33.3%,7.6%,25.8%,9.1%,21,3.0%,3.0%,1.5%,3.0%,4.5%,3.0%,1.5%,3.0%,3,3.0%,6.1%,0.0%,6.1%,0.0%,3.0%,  2 ,  9 
2017,Region Central,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,16.3%,9.3%,14.0%,7.0%,12,0.0%,0.0%,0.0%,0.0%,4.7%,2.3%,2.3%,2.3%,2,0.0%,4.7%,0.0%,2.3%,0.0%,2.3%,  1 ,  5 
2017,Region Central,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,61.1%,5.6%,50.0%,5.6%,36,0.0%,5.6%,0.0%,5.6%,5.6%,5.6%,0.0%,5.6%,2,5.6%,5.6%,0.0%,5.6%,0.0%,5.6%,  3 ,  14 
2017,Region Central,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,80.0%,0.0%,40.0%,40.0%,44,40.0%,20.0%,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,14,20.0%,20.0%,0.0%,40.0%,0.0%,0.0%,  10 ,  23 
2017,Region Central,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,34.4%,6.2%,24.0%,8.3%,20,10.4%,1.0%,0.0%,3.1%,4.2%,6.2%,1.0%,7.3%,4,4.2%,8.3%,4.2%,3.1%,2.1%,3.1%,  4 ,  9 
2017,Region Central,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,26.5%,7.4%,22.1%,4.4%,17,13.2%,0.0%,0.0%,4.4%,2.9%,7.4%,1.5%,5.9%,4,2.9%,7.4%,1.5%,4.4%,2.9%,4.4%,  3 ,  8 
2017,Region Central,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,50.0%,4.2%,29.2%,8.3%,26,4.2%,0.0%,0.0%,0.0%,8.3%,4.2%,0.0%,8.3%,3,4.2%,4.2%,8.3%,0.0%,0.0%,0.0%,  3 ,  11 
2017,Region Central,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Administración pública y defensa,Total,43.8%,12.5%,31.3%,12.5%,28,0.0%,12.5%,0.0%,0.0%,0.0%,6.3%,0.0%,18.8%,2,0.0%,12.5%,0.0%,0.0%,18.8%,12.5%,  7 ,  12 
2017,Region Central,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Administración pública y defensa,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Administración pública y defensa,Grandes,80.0%,0.0%,60.0%,40.0%,50,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,2,0.0%,20.0%,0.0%,0.0%,20.0%,0.0%,  7 ,  20 
2017,Region Central,Sector Terciario,Servicios,Educación,Total,70.0%,10.0%,50.0%,10.0%,40,20.0%,15.0%,10.0%,10.0%,20.0%,5.0%,10.0%,25.0%,15,15.0%,15.0%,5.0%,5.0%,5.0%,5.0%,  8 ,  21 
2017,Region Central,Sector Terciario,Servicios,Educación,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Educación,Pymes,75.0%,8.3%,50.0%,16.7%,43,16.7%,16.7%,0.0%,16.7%,16.7%,0.0%,0.0%,25.0%,10,16.7%,8.3%,0.0%,0.0%,0.0%,8.3%,  6 ,  19 
2017,Region Central,Sector Terciario,Servicios,Educación,Grandes,80.0%,0.0%,80.0%,0.0%,48,40.0%,20.0%,40.0%,0.0%,40.0%,0.0%,40.0%,20.0%,34,20.0%,20.0%,20.0%,0.0%,20.0%,0.0%,  17 ,  33 
2017,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,35.7%,14.3%,21.4%,0.0%,20,21.4%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,7.1%,5,7.1%,0.0%,0.0%,7.1%,0.0%,0.0%,  2 ,  9 
2017,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,30.0%,20.0%,10.0%,0.0%,16,10.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,  1 ,  7 
2017,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Otros servicios,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Otros servicios,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Otros servicios,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Terciario,Servicios,Otros servicios,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Total,Total,Total,Total,28.1%,8.4%,5.8%,13.5%,15,2.4%,1.1%,1.2%,1.4%,2.2%,7.9%,0.5%,2.9%,2,1.4%,1.6%,0.0%,1.4%,0.4%,1.1%,  1 ,  6 
2017,Region Oriental,Total,Total,Total,Micros,27.5%,8.7%,4.8%,11.1%,14,1.7%,0.8%,0.5%,1.7%,2.2%,9.1%,0.5%,2.2%,2,0.5%,1.2%,0.0%,1.7%,0.5%,0.2%,  1 ,  5 
2017,Region Oriental,Total,Total,Total,Pymes,31.4%,6.2%,8.8%,18.2%,17,4.1%,1.7%,3.2%,0.6%,2.5%,4.2%,0.7%,5.3%,3,3.6%,2.8%,0.0%,0.0%,0.0%,4.1%,  1 ,  7 
2017,Region Oriental,Total,Total,Total,Grandes,14.9%,17.5%,6.8%,47.2%,19,6.8%,6.8%,6.8%,0.0%,0.0%,6.8%,0.0%,0.0%,3,6.8%,1.3%,0.0%,6.8%,0.0%,0.0%,  2 ,  8 
2017,Region Oriental,Sector Primario,Total,Total,Total,17.1%,6.2%,4.6%,3.4%,8,1.6%,2.1%,1.6%,0.4%,3.2%,0.4%,1.6%,0.0%,2,1.6%,2.1%,0.0%,0.4%,0.0%,0.4%,  1 ,  4 
2017,Region Oriental,Sector Primario,Total,Total,Micros,18.4%,0.0%,2.9%,1.4%,7,0.0%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  2 
2017,Region Oriental,Sector Primario,Total,Total,Pymes,15.8%,6.6%,5.9%,4.7%,9,2.6%,0.7%,2.6%,0.7%,5.2%,0.7%,2.6%,0.0%,3,2.6%,0.7%,0.0%,0.7%,0.0%,0.7%,  1 ,  4 
2017,Region Oriental,Sector Primario,Total,Total,Grandes,23.4%,29.9%,0.0%,0.0%,13,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,23.4%,0.0%,0.0%,0.0%,0.0%,  2 ,  5 
2017,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Total,19.1%,6.4%,4.3%,2.1%,9,2.1%,2.1%,2.1%,0.0%,4.3%,0.0%,2.1%,0.0%,2,2.1%,2.1%,0.0%,0.0%,0.0%,0.0%,  1 ,  4 
2017,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Micros,18.8%,0.0%,0.0%,0.0%,6,0.0%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  2 
2017,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Pymes,18.5%,7.4%,7.4%,3.7%,10,3.7%,0.0%,3.7%,0.0%,7.4%,0.0%,3.7%,0.0%,4,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,  1 ,  5 
2017,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Primario,Minas y canteras,Total,Total,10.9%,5.5%,5.5%,7.3%,7,0.0%,1.8%,0.0%,1.8%,0.0%,1.8%,0.0%,0.0%,0,0.0%,1.8%,0.0%,1.8%,0.0%,1.8%,  -   ,  3 
2017,Region Oriental,Sector Primario,Minas y canteras,Total,Micros,16.7%,0.0%,16.7%,8.3%,12,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Region Oriental,Sector Primario,Minas y canteras,Total,Pymes,9.5%,4.8%,2.4%,7.1%,6,0.0%,2.4%,0.0%,2.4%,0.0%,2.4%,0.0%,0.0%,0,0.0%,2.4%,0.0%,2.4%,0.0%,2.4%,  1 ,  2 
2017,Region Oriental,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Total,Total,Total,20.2%,17.3%,5.8%,13.1%,14,3.9%,1.3%,2.0%,2.0%,5.9%,11.8%,2.0%,2.0%,4,1.6%,2.0%,0.0%,2.0%,0.0%,0.0%,  1 ,  6 
2017,Region Oriental,Sector Secundario,Total,Total,Micros,29.6%,19.7%,5.5%,15.4%,18,3.3%,0.0%,3.3%,3.3%,6.6%,10.9%,3.3%,0.0%,4,0.0%,0.0%,0.0%,3.3%,0.0%,0.0%,  -   ,  7 
2017,Region Oriental,Sector Secundario,Total,Total,Pymes,6.8%,9.3%,6.6%,10.4%,8,5.2%,3.4%,0.0%,0.0%,5.2%,13.8%,0.0%,5.2%,3,4.1%,5.2%,0.0%,0.0%,0.0%,0.0%,  1 ,  4 
2017,Region Oriental,Sector Secundario,Total,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Total,19.4%,16.7%,5.6%,16.7%,14,5.6%,0.0%,2.8%,2.8%,8.3%,11.1%,2.8%,2.8%,5,0.0%,2.8%,0.0%,2.8%,0.0%,0.0%,  -   ,  6 
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Micros,31.8%,18.2%,4.5%,18.2%,18,4.5%,0.0%,4.5%,4.5%,9.1%,9.1%,4.5%,0.0%,5,0.0%,0.0%,0.0%,4.5%,0.0%,0.0%,  -   ,  8 
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Pymes,0.0%,7.7%,7.7%,15.4%,7,7.7%,0.0%,0.0%,0.0%,7.7%,15.4%,0.0%,7.7%,4,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%,  1 ,  4 
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,9.1%,18.2%,0.0%,18.2%,10,9.1%,0.0%,0.0%,0.0%,0.0%,18.2%,0.0%,0.0%,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Servicios Publicos,Total,Total,0.0%,8.3%,16.7%,0.0%,7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,  2 ,  3 
2017,Region Oriental,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Oriental,Sector Secundario,Construccion,Total,Total,25.0%,20.0%,5.0%,5.0%,14,0.0%,5.0%,0.0%,0.0%,0.0%,15.0%,0.0%,0.0%,1,5.0%,0.0%,0.0%,0.0%,0.0%,0.0%,  1 ,  5 
2017,Region Oriental,Sector Secundario,Construccion,Total,Micros,27.3%,27.3%,9.1%,9.1%,18,0.0%,0.0%,0.0%,0.0%,0.0%,18.2%,0.0%,0.0%,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  6 
